Time,Symbol,Side,Entry,SL,TP,Exit,PnL,Balance,Reason
2026-02-09 15:26:45,USDINR,BUY,90.5,90.4,90.7,,,,ENTRY
2026-02-09 15:26:45,USDINR,BUY,,,,90.7,200.0,100200.0,TP HIT
2026-02-10 09:30:01,USDINR,SELL,90.76,90.8375,90.6438,,,,ENTRY
2026-02-10 09:30:01,USDINR,SELL,,,,90.76,0.0,100000.0,SL HIT
2026-02-10 09:45:01,USDINR,SELL,90.7475,90.8375,90.6125,,,,ENTRY
2026-02-10 10:15:03,USDINR,SELL,,,,90.76,-12.5,99987.5,SL HIT
2026-02-10 10:16:59,USDINR,BUY,90.765,90.71,90.8475,,,,ENTRY
2026-02-10 10:17:49,USDINR,BUY,90.765,90.71,90.8475,,,,ENTRY
2026-02-10 10:20:19,USDINR,BUY,90.765,90.71,90.8475,,,,ENTRY
2026-02-10 11:00:12,USDINR,BUY,90.76,90.7,90.85,,,,ENTRY
